,kAB,kBA,kex,pA,pB,offsetA,offsetB,deltaomega,R2A,R2B,R1A,R1B,M0
953,50.63476153968535,161.98688540848275,212.6216469481681,0.7618550967577217,0.2381449032422783,0.0,803.0037840263115,803.0037840263115,10.001131199495441,10.001131199495441,2.0,2.0,2023740.9802288194
954,50.79497708301992,129.04915736042514,179.84413444344506,0.7175611134596485,0.28243888654035165,0.0,830.7742727962149,830.7742727962149,9.96038111805096,9.96038111805096,2.0,2.0,2162725.3644312085
955,50.54790051865779,104.26118764937152,154.80908816802932,0.6734823445003871,0.32651765549961287,0.0,847.7395673172228,847.7395673172228,9.799792748314816,9.799792748314816,2.0,2.0,2281700.071031297
956,50.956277057779594,133.26072224978205,184.21699930756165,0.7233899300861755,0.27661006991382453,0.0,827.8908305596445,827.8908305596445,10.026668441201723,10.026668441201723,2.0,2.0,2146689.918138863
957,50.696121898217974,151.33384744239515,202.02996934061312,0.7490663288041851,0.2509336711958149,0.0,825.0743842733991,825.0743842733991,9.51713397387078,9.51713397387078,2.0,2.0,2067607.2545328713
958,50.51813893581135,124.36782120639454,174.88596014220587,0.7111366807562295,0.28886331924377057,0.0,831.2005347464035,831.2005347464035,10.459159637348119,10.459159637348119,2.0,2.0,2193969.445842858
959,50.29676633548544,127.38402172270405,177.68078805818948,0.7169262536194205,0.2830737463805795,0.0,828.4303516877986,828.4303516877986,10.24011146661924,10.24011146661924,2.0,2.0,2176112.8269194276
960,50.18073590398695,144.6039451785342,194.78468108252113,0.7423784271683679,0.2576215728316321,0.0,814.202719333947,814.202719333947,10.047112952436546,10.047112952436546,2.0,2.0,2084398.6335767545
961,50.442563702586874,127.02881032915899,177.47137403174585,0.7157707039921618,0.28422929600783825,0.0,831.6974576852976,831.6974576852976,9.777002326069361,9.777002326069361,2.0,2.0,2155170.6663955743
962,50.54559171817748,129.24072158755877,179.78631330573626,0.7188573991601797,0.2811426008398203,0.0,836.6208585604746,836.6208585604746,9.927186072475607,9.927186072475607,2.0,2.0,2160802.9050423144
963,50.34818771805679,143.11033207376983,193.45851979182663,0.7397468575060194,0.26025314249398046,0.0,818.6088142058136,818.6088142058136,10.268037494825489,10.268037494825489,2.0,2.0,2094202.712325185
964,51.02601023606645,122.11599099098724,173.1420012270537,0.7052938635660545,0.2947061364339455,0.0,848.1019080269792,848.1019080269792,9.507167743841865,9.507167743841865,2.0,2.0,2202259.8080842556
965,50.71059282129028,127.91693114390509,178.62752396519537,0.7161098598042989,0.28389014019570114,0.0,820.4537286111517,820.4537286111517,9.776922844211454,9.776922844211454,2.0,2.0,2153877.721011673
966,50.15390152067404,116.25173644976783,166.4056379704419,0.6986045537136023,0.3013954462863976,0.0,834.8086503714296,834.8086503714296,10.46522132715824,10.46522132715824,2.0,2.0,2221065.785477993
967,50.65817796317317,124.32171668953264,174.9798946527058,0.7104914363806321,0.2895085636193679,0.0,829.8615413685773,829.8615413685773,10.49513423622225,10.49513423622225,2.0,2.0,2200528.69298501
968,51.11350310828765,139.17648502828297,190.28998813657063,0.7313915271695554,0.2686084728304446,0.0,818.7571925572245,818.7571925572245,9.63919029779869,9.63919029779869,2.0,2.0,2113484.0502175405
969,50.86197263018801,136.32107844546093,187.18305107564893,0.7282768266789688,0.2717231733210313,0.0,824.6204593156637,824.6204593156637,9.855038153863036,9.855038153863036,2.0,2.0,2125846.294448805
